date	created	modified	released
20170130	1	1	4
20170131	1	4	13
20170201	0	2	6
20170202	1	2	4
20170203	1	2	4
20170204	1	2	2
20170205	1	0	1
20170206	2	3	15
20170207	0	2	2
20170208	0	1	2
20170209	3	2	13
20170210	2	2	8
20170211	5	3	15
20170212	2	9	4
20170213	4	1	14
20170214	2	5	15
20170215	0	3	3
20170216	0	0	1
20170217	2	2	5
20170218	1	4	4
20170220	1	1	5
20170221	3	2	10
20170222	2	13	48
20170223	0	2	6
20170224	1	2	3
20170225	1	1	3
20170226	1	1	1
20170227	1	0	5
20170228	2	3	9
20170301	0	4	5
20170302	1	1	10
20170303	2	3	14
20170304	1	0	17
20170305	0	0	2
20170306	0	0	4
20170307	3	3	38
20170308	1	2	11
20170309	4	3	15
20170310	3	7	12
20170311	1	2	4
20170312	3	2	3
20170313	0	2	2
20170314	3	2	9
20170315	3	10	12
20170316	1	5	20
20170317	2	3	12
20170318	0	0	20
20170319	0	0	11
20170320	1	2	12
20170321	1	0	2
20170322	0	1	2
20170323	0	2	5
20170324	1	1	5
20170325	0	1	2
20170326	0	0	4
20170327	0	2	1
20170328	0	1	4
20170329	1	3	2
20170330	1	1	5
20170331	2	3	11
20170401	2	4	11
20170402	0	0	1
20170403	7	4	11
20170404	3	2	11
20170405	1	4	19
20170406	0	2	4
20170407	1	4	39
20170408	2	3	9
20170409	1	1	12
20170410	2	3	24
20170411	1	2	10
20170413	0	1	3
20170414	1	1	1
20170415	1	1	2
20170417	1	0	5
20170418	2	2	5
20170419	1	1	6
20170420	0	2	7
20170421	2	5	15
20170422	1	1	4
20170423	4	5	7
20170424	0	1	1
20170425	3	3	5
20170426	0	4	5
20170427	1	0	1
20170428	1	1	5
20170429	1	1	3
20170430	1	4	6
20170501	0	1	1
20170502	2	3	6
20170503	1	0	3
20170504	1	1	7
20170505	0	1	1
20170506	1	3	7
20170507	0	1	1
20170508	0	1	1
20170509	1	4	3
20170510	1	1	5
20170511	1	3	5
20170512	6	7	20
20170515	0	0	2
20170516	0	1	2
20170517	0	2	1
20170518	3	3	11
20170519	1	4	10
20170520	3	5	12
20170521	0	1	1
20170522	0	4	2
20170523	1	3	4
20170524	0	0	5
20170525	4	2	8
20170526	2	1	8
20170527	0	1	3
20170528	1	5	15
20170529	2	1	5
20170530	0	4	0
20170531	3	3	7
20170601	0	5	2
20170602	0	3	4
20170603	0	1	1
20170604	1	1	3
20170605	0	0	1
20170606	0	1	3
20170607	1	2	5
20170608	0	1	1
20170609	3	3	7
20170610	1	1	8
20170611	0	3	3
20170612	0	1	4
20170613	2	6	7
20170614	1	3	14
20170615	0	2	2
20170616	0	1	2
20170617	0	1	1
20170618	0	1	1
20170619	0	3	3
20170620	1	1	3
20170621	0	1	3
20170622	1	3	3
20170624	1	1	1
20170625	1	3	2
20170626	2	3	4
20170627	0	1	0
20170628	0	8	12
20170629	0	2	2
20170630	3	7	12
20170701	1	3	4
20170703	0	1	2
20170704	1	6	7
20170705	0	1	1
20170706	1	0	3
20170707	5	5	15
20170708	0	4	8
20170709	0	2	4
20170710	1	0	2
20170711	2	2	5
20170712	0	2	4
20170713	2	2	2
20170714	2	17	11
20170717	1	1	1
20170718	1	1	1
20170719	0	2	2
20170721	0	4	1
20170723	1	1	14
20170724	0	0	4
20170725	1	2	4
20170726	1	2	4
20170727	1	6	6
20170728	0	2	5
